iter,ticks_until_defeat,mage_dmg_percent,range_dmg_percent,proc_percent
3,140,50.691823899371066,49.308176100628934,34.85714285714286
5,148,46.845124282982795,53.15487571701721,34.8952380952381
4,140,59.254734270006104,40.74526572999389,33.06666666666666
2,148,46.54635967641568,53.45364032358432,33.44761904761905
9,156,51.75438596491229,48.24561403508772,33.86666666666667
1,168,48.224661071659135,51.775338928340865,34.8952380952381
11,140,53.16533497234174,46.83466502765827,33.44761904761905
16,148,54.38931297709924,45.61068702290076,34.78095238095238
6,168,47.287299630086316,52.71270036991369,32.114285714285714
10,164,45.06953223767383,54.930467762326174,33.63809523809524
15,140,40.12539184952978,59.87460815047022,34.66666666666667
13,168,44.293645897594075,55.70635410240592,32.15238095238095
19,140,50.58317986494782,49.416820135052184,33.371428571428574
8,152,53.00613496932516,46.99386503067485,32.57142857142858
22,136,60.11306532663316,39.88693467336684,34.78095238095238
14,164,57.284562926224424,42.715437073775576,32.457142857142856
7,184,50.16350555918901,49.83649444081099,34.8952380952381
12,184,52.2264631043257,47.773536895674305,33.25714285714286
24,152,46.67077681874229,53.3292231812577,32.87619047619047
26,144,50.920634920634924,49.079365079365076,34.66666666666667
23,156,54.71817606079797,45.28182393920203,34.51428571428571
20,140,48.35096453018046,51.64903546981954,34.20952380952381
25,164,44.07090464547677,55.92909535452323,31.580952380952382
21,156,51.890243902439025,48.109756097560975,32.19047619047619
18,180,47.19800747198008,52.80199252801992,32.72380952380952
17,172,54.75578406169666,45.24421593830334,34.62857142857143
32,148,54.40251572327044,45.59748427672956,34.095238095238095
34,156,54.680719156850586,45.319280843149414,33.21904761904762
33,152,50.58750773036488,49.41249226963513,33.06666666666666
28,156,51.587301587301596,48.41269841269841,32.266666666666666
27,148,51.58878504672897,48.41121495327103,33.523809523809526
29,164,49.10485933503836,50.89514066496164,34.32380952380952
36,168,53.085642317380355,46.914357682619645,33.40952380952381
31,168,57.32403297400127,42.67596702599874,33.82857142857143
39,156,42.30525649145028,57.69474350854972,34.51428571428571
30,156,54.158730158730165,45.84126984126984,34.66666666666667
41,172,48.23232323232323,51.76767676767676,33.561904761904756
38,164,41.10091743119266,58.89908256880734,31.61904761904762
45,168,43.310082435003174,56.689917564996826,33.82857142857143
46,140,45.9727385377943,54.0272614622057,33.94285714285714
44,136,45.7388105456775,54.2611894543225,33.2952380952381
49,152,54.40251572327044,45.59748427672956,34.095238095238095
48,152,45.55205047318612,54.44794952681388,34.285714285714285
51,164,47.37827715355805,52.62172284644194,32.87619047619047
52,148,40.40660736975858,59.593392630241425,34.7047619047619
37,164,56.400742115027825,43.59925788497217,32.304761904761904
53,152,53.00309597523219,46.9969040247678,33.14285714285714
35,184,42.960052390307794,57.03994760969221,34.97142857142857
40,164,43.927648578811365,56.07235142118863,34.93333333333333
43,156,50.0,50.0,33.714285714285715
54,148,45.76899320568252,54.23100679431748,32.990476190476194
42,184,51.493506493506494,48.506493506493506,34.476190476190474
56,148,48.24561403508772,51.75438596491229,33.86666666666667
55,168,48.07692307692308,51.92307692307693,32.49523809523809
59,144,58.49176172370088,41.50823827629912,34.55238095238095
60,148,52.64499681325685,47.35500318674315,34.8952380952381
47,168,54.894433781190024,45.105566218809976,34.36190476190476
63,164,53.670573719925976,46.329426280074024,32.15238095238095
50,164,49.07749077490775,50.92250922509225,31.961904761904762
62,164,48.645320197044335,51.35467980295566,32.03809523809524
57,140,56.102117061021175,43.897882938978825,34.24761904761905
70,164,55.39033457249071,44.60966542750929,32.41904761904762
69,180,48.721071863581,51.278928136419,31.352380952380955
58,152,58.11153358681875,41.88846641318124,34.55238095238095
65,152,52.539184952978054,47.460815047021946,33.904761904761905
72,156,50.22250476795931,49.777495232040685,34.74285714285714
71,156,50.092649783817166,49.90735021618283,32.990476190476194
61,156,51.1166253101737,48.883374689826304,33.25714285714286
67,136,49.473031618102915,50.526968381897085,33.98095238095238
68,152,55.887850467289724,44.11214953271028,33.523809523809526
66,184,53.99361022364217,46.00638977635783,33.523809523809526
64,164,51.80878552971576,48.19121447028424,34.93333333333333
76,148,53.20074580484773,46.799254195152265,33.371428571428574
74,152,45.037688442211056,54.962311557788944,34.01904761904762
73,164,51.471509079524104,48.52849092047589,33.06666666666666
77,172,52.459016393442624,47.540983606557376,33.48571428571429
78,152,49.29143561306223,50.70856438693777,32.838095238095235
79,156,45.96825396825397,54.03174603174603,34.66666666666667
75,164,54.89060489060489,45.10939510939511,34.7047619047619
81,156,46.75488342785129,53.24511657214871,34.20952380952381
86,148,58.88544891640867,41.11455108359133,33.14285714285714
89,148,44.838505383153894,55.161494616846106,34.51428571428571
91,148,46.92118226600985,53.07881773399015,32.800000000000004
85,152,60.28767979987493,39.71232020012508,33.75238095238095
92,152,46.477987421383645,53.522012578616355,34.095238095238095
94,152,50.18633540372671,49.81366459627329,33.33333333333333
80,140,44.59712679575266,55.40287320424735,34.43809523809524
95,156,50.31172069825436,49.68827930174564,33.561904761904756
82,168,48.74919820397691,51.25080179602309,34.51428571428571
84,164,54.075917859365276,45.924082140634724,32.68571428571428
93,168,50.95419847328244,49.04580152671756,34.01904761904762
90,156,48.318042813455655,51.681957186544345,32.38095238095238
87,144,46.090273363000634,53.909726636999366,34.74285714285714
83,164,49.84126984126984,50.15873015873016,33.904761904761905
97,164,49.78540772532189,50.21459227467812,31.771428571428572
88,148,52.49211356466878,47.50788643533123,34.285714285714285
98,164,53.349875930521094,46.65012406947891,32.49523809523809
101,148,52.705283259070654,47.294716740929346,34.81904761904762
99,172,47.51415984896161,52.48584015103839,33.371428571428574
104,148,55.143031040779064,44.856968959220936,32.076190476190476
106,164,58.853831294269156,41.146168705730844,34.74285714285714
102,180,53.98886827458256,46.01113172541744,32.304761904761904
108,184,53.040752351097176,46.95924764890282,32.38095238095238
111,148,48.35505896958411,51.64494103041589,33.2952380952381
96,156,54.2319749216301,45.76802507836991,33.904761904761905
103,168,50.410612760581174,49.589387239418826,33.6
100,148,36.1318407960199,63.8681592039801,33.40952380952381
115,152,46.49122807017544,53.50877192982456,33.86666666666667
110,164,50.61425061425061,49.385749385749385,31.885714285714283
107,164,58.26524198617222,41.734758013827786,33.2952380952381
113,144,50.380710659898476,49.619289340101524,34.62857142857143
114,172,49.754901960784316,50.245098039215684,31.733333333333334
118,124,53.56924954240391,46.43075045759609,32.990476190476194
117,172,43.79332073093888,56.20667926906112,33.44761904761905
116,184,60.36895674300254,39.63104325699746,33.25714285714286
