iter,ticks_until_defeat,mage_dmg_percent,range_dmg_percent,proc_percent
3,164,47.75928297055058,52.24071702944942,34.4
10,156,45.627376425855516,54.372623574144484,34.55238095238095
7,148,51.60508782556027,48.39491217443974,31.771428571428572
5,156,47.68170426065163,52.31829573934837,33.86666666666667
2,172,51.92069392812887,48.07930607187112,32.41904761904762
11,164,49.970041941282204,50.029958058717796,30.323809523809526
1,136,53.05367057371993,46.94632942628007,33.67619047619048
9,180,50.73295092415552,49.26704907584449,34.13333333333333
6,140,54.79368932038835,45.20631067961165,32.647619047619045
4,132,51.417769376181475,48.582230623818525,34.97142857142857
16,132,48.742138364779876,51.257861635220124,34.85714285714286
8,140,48.42041312272175,51.57958687727825,32.72380952380952
13,140,49.439601494396015,50.560398505603985,34.24761904761905
18,132,51.821608040201006,48.178391959798994,34.78095238095238
15,148,47.13740458015267,52.862595419847324,34.78095238095238
12,180,52.60896255371394,47.39103744628606,31.847619047619048
14,184,54.294670846394986,45.70532915360502,32.38095238095238
23,136,43.45127250155183,56.54872749844817,34.05714285714286
19,156,52.17391304347826,47.82608695652174,30.704761904761906
20,152,46.88667496886675,53.11332503113325,33.48571428571429
21,180,38.42364532019704,61.57635467980296,32.03809523809524
24,140,54.409005628517825,45.590994371482175,34.51428571428571
17,156,47.679593134138585,52.320406865861415,34.74285714285714
25,188,52.05920205920206,47.94079794079794,33.94285714285714
29,132,52.998776009791925,47.00122399020808,33.180952380952384
22,148,55.35491905354919,44.64508094645081,33.48571428571429
34,136,42.785129174543165,57.214870825456835,34.97142857142857
31,140,50.71090047393365,49.28909952606635,31.123809523809527
30,164,42.30031948881789,57.69968051118211,34.285714285714285
36,148,54.357366771159874,45.642633228840126,33.904761904761905
27,140,50.913673597983625,49.08632640201638,34.97142857142857
37,164,43.039591315453386,56.960408684546614,34.24761904761905
28,136,47.885572139303484,52.11442786069652,34.17142857142857
35,164,45.71078431372549,54.2892156862745,31.733333333333334
26,152,57.86240786240786,42.13759213759214,32.647619047619045
38,156,43.78585086042065,56.21414913957935,34.8952380952381
33,152,46.797717184527585,53.202282815472415,34.59047619047619
41,164,52.407407407407405,47.592592592592595,32.19047619047619
32,164,46.73645320197045,53.26354679802956,32.03809523809524
44,144,48.67088607594937,51.32911392405063,34.476190476190474
43,156,39.85239852398524,60.147601476014756,32.72380952380952
48,136,47.486033519553075,52.513966480446925,34.05714285714286
47,140,45.893719806763286,54.106280193236714,32.34285714285715
40,148,39.97501561524047,60.02498438475953,33.67619047619048
39,164,57.48081841432226,42.51918158567775,34.32380952380952
50,132,45.952677459526775,54.04732254047323,34.24761904761905
45,164,45.16954574536148,54.83045425463852,34.36190476190476
42,132,55.61762880198634,44.38237119801365,34.05714285714286
52,152,47.78263585259213,52.21736414740788,33.67619047619048
49,124,48.275862068965516,51.724137931034484,34.66666666666667
51,152,50.06321112515803,49.93678887484197,34.4
46,140,50.563204005006256,49.436795994993744,34.55238095238095
59,152,43.526510480887794,56.473489519112206,32.87619047619047
54,140,50.2835538752363,49.7164461247637,34.97142857142857
57,164,46.75,53.25,32.95238095238095
61,148,53.65239294710328,46.34760705289673,34.17142857142857
60,156,55.904522613065325,44.095477386934675,34.01904761904762
58,136,52.318668252080855,47.681331747919145,31.352380952380955
63,152,52.32336091661362,47.67663908338638,34.81904761904762
62,152,49.23566878980892,50.76433121019108,34.85714285714286
65,136,57.540173053152046,42.45982694684796,33.79047619047619
55,152,53.74149659863946,46.25850340136054,33.06666666666666
53,140,44.68479604449938,55.315203955500614,33.79047619047619
56,164,49.72677595628415,50.27322404371585,31.16190476190476
69,132,53.087960074859645,46.91203992514036,34.36190476190476
64,124,51.211932877563704,48.788067122436296,34.13333333333333
66,152,45.44303797468354,54.55696202531646,34.476190476190474
73,132,54.72038484666266,45.279615153337346,32.076190476190476
72,140,42.22086638194021,57.779133618059795,32.990476190476194
75,136,52.00250312891114,47.99749687108886,34.55238095238095
71,152,50.50568900126422,49.49431099873578,34.4
70,164,48.937540244687696,51.0624597553123,34.74285714285714
67,132,42.07021791767554,57.92978208232446,32.49523809523809
77,164,47.76500638569604,52.23499361430396,34.24761904761905
68,136,57.76241357636707,42.23758642363293,34.81904761904762
76,164,60.778258184064235,39.221741815935765,32.22857142857143
74,152,48.47731510254817,51.52268489745183,33.371428571428574
81,148,56.029684601113175,43.970315398886825,33.06666666666666
79,156,52.53485424588086,47.465145754119135,34.55238095238095
80,136,45.81497797356828,54.18502202643172,34.8952380952381
78,148,52.96610169491526,47.03389830508475,31.733333333333334
83,168,47.3208910295003,52.6791089704997,30.628571428571426
88,132,50.75187969924813,49.24812030075188,34.62857142857143
86,168,54.36117936117936,45.63882063882064,31.885714285714283
82,136,51.37783221065524,48.622167789344765,33.21904761904762
85,148,45.99236641221374,54.007633587786266,34.78095238095238
84,144,49.24050632911393,50.75949367088608,34.476190476190474
92,164,50.0,50.0,33.180952380952384
91,156,44.54946439823566,55.45053560176434,34.20952380952381
93,164,46.46654158849281,53.5334584115072,32.990476190476194
89,140,49.36708860759494,50.63291139240506,32.22857142857143
95,156,51.486401012017716,48.513598987982284,34.43809523809524
99,164,39.51250801796023,60.487491982039764,34.51428571428571
90,156,43.44827586206896,56.55172413793104,33.904761904761905
100,148,51.5625,48.4375,33.714285714285715
101,148,41.51303242212333,58.48696757787667,34.74285714285714
94,168,50.22595222724339,49.77404777275662,34.8952380952381
87,184,51.22699386503068,48.77300613496933,31.047619047619047
102,148,47.81783681214421,52.18216318785579,34.43809523809524
97,144,50.03162555344719,49.968374446552815,34.43809523809524
105,140,54.95662949194548,45.04337050805452,33.94285714285714
96,148,52.313386798272674,47.686613201727326,32.91428571428571
108,152,52.9228855721393,47.07711442786069,33.40952380952381
104,156,53.25153374233129,46.74846625766872,32.57142857142858
106,164,46.7324290998767,53.2675709001233,32.114285714285714
98,152,50.349650349650354,49.65034965034965,34.74285714285714
109,144,40.61107574793125,59.38892425206874,34.81904761904762
112,148,41.04996837444656,58.95003162555344,34.43809523809524
107,140,55.05824647455548,44.94175352544451,33.2952380952381
103,164,55.46325878594249,44.53674121405751,34.285714285714285
111,156,52.78996865203762,47.210031347962385,33.904761904761905
114,148,41.54040404040404,58.45959595959596,34.32380952380952
110,156,42.82147315855181,57.17852684144818,33.63809523809524
115,148,55.891619407687465,44.10838059231254,34.20952380952381
116,180,47.23067559342666,52.76932440657334,31.314285714285717
113,140,53.52286773794809,46.47713226205192,33.79047619047619
123,156,45.31442663378545,54.68557336621455,32.87619047619047
119,164,54.39384220654265,45.60615779345735,34.51428571428571
125,132,51.19496855345912,48.80503144654088,34.85714285714286
118,156,50.60317460317461,49.39682539682539,34.66666666666667
120,164,52.46105919003116,47.53894080996885,32.761904761904766
117,144,52.02275600505689,47.97724399494311,34.4
121,148,45.10166358595194,54.89833641404805,32.838095238095235
126,164,52.885225110970204,47.1147748890298,33.82857142857143
