iter,time,mager_dmg,ranger_dmg
398,148,877,599
399,156,740,761
400,144,688,757
401,136,718,747
402,140,792,720
403,136,783,686
404,136,756,690
405,156,709,719
406,136,684,768
407,168,703,740
408,144,696,752
409,140,787,660
410,132,717,781
411,144,714,779
412,140,769,719
413,152,716,753
414,152,702,752
415,152,659,775
416,136,781,674
417,168,672,763
418,160,706,737
419,144,695,764
420,164,645,772
421,156,606,850
422,132,721,775
423,156,783,658
424,164,764,736
425,136,789,721
426,144,722,764
427,156,792,664
428,156,722,727
429,152,690,763
430,140,798,704
431,156,660,773
432,140,651,842
433,152,684,753
434,156,747,688
435,144,705,772
436,124,774,747
437,136,741,745
438,128,791,663
439,156,790,684
440,144,897,530
441,124,811,784
442,168,848,585
443,144,744,739
444,124,762,775
445,172,697,770
446,132,711,742
447,140,769,692
448,140,797,703
449,152,683,771
450,168,618,822
451,116,670,806
452,156,675,802
453,132,713,748
454,152,649,817
455,136,652,804
456,128,661,786
457,152,683,779
458,156,725,768
459,164,736,674
460,152,627,813
461,148,775,656
462,156,739,700
463,152,760,767
464,152,702,767
465,128,762,709
466,132,680,774
467,128,797,682
468,128,766,714
469,140,755,733
470,132,800,722
471,152,731,764
472,140,808,707
473,164,807,677
474,168,652,785
475,132,789,730
476,144,708,761
477,160,714,738
478,148,738,737
479,144,745,777
480,160,685,765
481,120,873,604
482,140,749,735
483,156,579,858
484,156,747,717
485,144,625,803
486,148,758,694
487,180,685,732
488,136,713,817
489,140,796,687
490,140,749,722
491,132,738,756
492,124,679,775
493,140,714,782
494,160,815,674
495,112,749,742
496,184,804,525
497,140,598,888
498,128,638,823
499,156,817,663
500,144,731,745
501,128,717,859
502,132,744,730
503,140,800,651
504,168,790,661
505,136,702,852
506,140,790,683
507,140,681,875
508,144,814,695
509,128,823,732
510,136,856,632
511,140,864,667
512,152,753,698
513,124,709,777
514,160,809,635
515,148,766,712
516,172,638,860
517,160,789,735
518,124,690,754
519,136,696,764
520,144,856,574
521,132,641,849
522,136,764,718
523,136,854,631
524,164,765,688
525,140,580,900
526,144,619,836
527,124,699,795
528,136,870,612
529,128,693,775
530,144,671,768
531,136,765,693
532,120,696,810
533,136,724,749
534,144,693,796
535,152,857,594
536,140,600,845
537,124,867,650
538,124,775,674
539,152,766,701
540,144,811,654
541,140,741,763
542,148,754,707
543,128,676,802
544,144,654,816
545,148,687,775
546,116,819,670
547,152,729,713
548,120,792,709
549,140,741,833
550,152,725,712
551,152,723,797
552,152,747,712
553,132,697,786
554,148,632,808
555,132,772,727
556,152,772,710
557,156,712,759
558,144,796,671
559,132,823,636
560,128,772,719
561,152,756,724
562,152,863,610
563,128,792,670
564,136,746,714
565,172,694,814
566,144,633,814
567,124,654,833
568,152,864,593
569,136,796,732
570,144,762,738
571,144,615,834
572,148,620,824
573,136,858,647
574,140,527,967
575,144,874,582
576,152,738,694
577,160,748,682
578,136,749,723
579,132,845,663
580,140,836,656
581,144,722,723
582,136,762,688
583,164,813,617
584,136,724,723
585,136,640,843
586,152,694,763
587,152,772,660
588,152,732,704
589,132,696,784
590,128,745,696
591,124,890,607
592,128,827,639
593,148,793,652
594,156,646,858
595,124,787,712
596,132,805,778
597,124,749,717
598,120,744,791
599,140,772,791
600,140,680,791
601,136,664,792
602,148,739,703
603,136,783,669
604,152,639,799
605,164,769,698
606,160,589,915
607,132,665,804
608,132,667,826
609,140,658,853
610,140,607,867
611,148,701,803
612,132,638,848
613,132,664,793
614,152,672,773
615,144,808,624
616,136,656,851
617,144,907,638
618,124,601,862
619,172,729,701
